ticker,dollar_adv_hist,price_warmup_med,volume_warmup_avg,adv_window,adv_asof
BLMN,24946330.24153709,7.5849997997283936,3118800.0,30.0,2020-04-13
BLX,3075264.551830292,12.525000095367432,290863.3333333333,30.0,2020-04-13
BMA,6666061.616611481,17.195000648498535,376046.6666666667,30.0,2020-04-13
BMI,13968674.451255798,53.579999923706055,262946.6666666667,30.0,2020-04-13
BMO,64593024.8960495,49.900001525878906,1427613.3333333333,30.0,2020-04-13
BMRA,5095683.967403412,55.55999946594238,369062.0,30.0,2020-04-13
BMRC,1391431.5238952637,31.0,49596.66666666666,30.0,2020-04-13
BMRN,151642531.9580078,82.70499801635742,1893326.6666666667,30.0,2020-04-13
BMY,1009206437.0800018,55.369998931884766,19059870.0,30.0,2020-04-13
BN,141759870.72456408,16.38400936126709,9764935.7,30.0,2020-04-13
BNBX,1418175.0,60825.0,66.63333333333334,30.0,2020-04-13
BNED,1048240.0,162.0,6070.533333333334,30.0,2020-04-13
BNGO,1612191.0,267.0,9382.9,30.0,2020-04-13
BNS,102974786.85855864,39.81999969482422,2698860.0,30.0,2020-04-13
BOC,1423562.4841690063,16.710000038146973,97213.33333333331,30.0,2020-04-13
BOH,19899751.754379272,58.46999931335449,370080.0,30.0,2020-04-13
BOKF,19964280.76953888,46.05500030517578,560413.3333333334,30.0,2020-04-13
BOOM,7673126.174163818,24.13999938964844,352766.6666666667,30.0,2020-04-13
BOOT,21459998.038053516,14.56999969482422,1339056.6666666667,30.0,2020-04-13
BOX,38167965.98367691,13.925000190734863,2990930.0,30.0,2020-04-13
BP,534290319.1543579,24.539999961853027,23967823.33333333,30.0,2020-04-13
BPOP,50078763.33751679,35.46499824523926,1605460.0,30.0,2020-04-13
BR,119088607.5428009,98.13999938964844,1370390.0,30.0,2020-04-13
BRBR,8604494.000053406,17.109999656677246,553790.0,30.0,2020-04-13
BRC,15114542.85736084,44.36499977111816,348663.3333333333,30.0,2020-04-13
BRK-A,190645000.0,276397.5,803.3333333333334,30.0,2020-04-13
BRK-B,2110270221.005249,184.56999969482425,11399450.0,30.0,2020-04-13
BRKR,39301888.00048828,36.67499923706055,1101600.0,30.0,2020-04-13
BRO,81779413.79470825,37.10499954223633,2151710.0,30.0,2020-04-13
BRSL,26661927.8796196,6.079999923706055,5022903.333333333,30.0,2020-04-13
BRX,53230144.5110321,10.795000076293944,4901106.666666667,30.0,2020-04-13
BSAC,9565171.772193909,16.505000114440918,751433.3333333334,30.0,2020-04-13
BSX,473754173.1748581,31.98500061035156,15356043.333333334,30.0,2020-04-13
BTAI,9529515.14819336,339.0399932861328,37337.833333333336,30.0,2020-04-13
BTI,145478197.54180908,35.875,3932543.3333333335,30.0,2020-04-13
BUD,170134276.3671875,44.48500061035156,4329450.0,30.0,2020-04-13
BURL,229745072.36709595,164.3499984741211,1361860.0,30.0,2020-04-13
BUSE,4016239.448785782,16.649999618530273,240073.3333333333,30.0,2020-04-13
BV,3358776.44739151,10.43499994277954,321573.3333333333,30.0,2020-04-13
BVN,14547000.0,7.379999876022339,1968653.3333333333,30.0,2020-04-13
BWA,106596711.34897614,21.694541931152344,5071887.933333334,30.0,2020-04-13
BWIN,2196488.9791488647,11.394999980926514,210386.66666666663,30.0,2020-04-13
BWXT,44379319.48852539,49.079999923706055,990970.0,30.0,2020-04-13
BX,415474580.8753967,46.329999923706055,9773256.666666666,30.0,2020-04-13
BXC,1392029.9840927124,5.559999942779541,249363.3333333333,30.0,2020-04-13
BXMT,75777054.84542847,21.43000030517578,3786543.3333333335,30.0,2020-04-13
BXP,158154278.03840637,95.375,1627253.3333333333,30.0,2020-04-13
BY,1442862.9662513733,10.474999904632568,153786.66666666666,30.0,2020-04-13
BYD,47651052.825737,15.05999994277954,3137250.0,30.0,2020-04-13
BYND,334950711.4139557,68.45000076293945,4903660.0,30.0,2020-04-13
BZH,5213851.4488220215,6.289999961853027,871960.0,30.0,2020-04-13
C,1528826731.0127258,43.52999877929688,33928770.0,30.0,2020-04-13
CABO,61475405.87768555,1538.6500244140625,44066.66666666666,30.0,2020-04-13
